date,clicks,repository_id
2018-02-24,1080,university_new_mexico
2018-02-25,1490,university_new_mexico
2018-02-26,1945,university_new_mexico
2018-02-27,2252,university_new_mexico
2018-02-28,2218,university_new_mexico
2018-03-01,1768,university_new_mexico
2018-03-02,1374,university_new_mexico
2018-03-03,1087,university_new_mexico
2018-03-04,1483,university_new_mexico
2018-03-05,2000,university_new_mexico
2018-03-06,1827,university_new_mexico
2018-03-07,1791,university_new_mexico
2018-03-08,1763,university_new_mexico
2018-03-09,1530,university_new_mexico
2018-03-10,1217,university_new_mexico
2018-03-11,1496,university_new_mexico
2018-03-12,2066,university_new_mexico
2018-03-13,2083,university_new_mexico
2018-03-14,2065,university_new_mexico
2018-03-15,1788,university_new_mexico
2018-03-16,1478,university_new_mexico
2018-03-17,1186,university_new_mexico
2018-03-18,1541,university_new_mexico
2018-03-19,2205,university_new_mexico
2018-03-20,2139,university_new_mexico
2018-03-21,2081,university_new_mexico
2018-03-22,2028,university_new_mexico
2018-03-23,1499,university_new_mexico
2018-03-24,1181,university_new_mexico
2018-03-25,1593,university_new_mexico
2018-03-26,2023,university_new_mexico
2018-03-27,2045,university_new_mexico
2018-03-28,1883,university_new_mexico
2018-03-29,1581,university_new_mexico
2018-03-30,1331,university_new_mexico
2018-03-31,1251,university_new_mexico
2018-04-01,1435,university_new_mexico
2018-04-02,2148,university_new_mexico
2018-04-03,2295,university_new_mexico
2018-04-04,2394,university_new_mexico
2018-04-05,2153,university_new_mexico
2018-04-06,1706,university_new_mexico
2018-04-07,1387,university_new_mexico
2018-04-08,1874,university_new_mexico
2018-04-09,2607,university_new_mexico
2018-04-10,2552,university_new_mexico
2018-04-11,2561,university_new_mexico
2018-04-12,2381,university_new_mexico
2018-04-13,1835,university_new_mexico
2018-04-14,1342,university_new_mexico
2018-04-15,2021,university_new_mexico
2018-04-16,2763,university_new_mexico
2018-04-17,2683,university_new_mexico
2018-04-18,2681,university_new_mexico
2018-04-19,2467,university_new_mexico
2018-04-20,1855,university_new_mexico
2018-04-21,1476,university_new_mexico
2018-04-22,1930,university_new_mexico
2018-04-23,2575,university_new_mexico
2018-04-24,2411,university_new_mexico
2018-04-25,2520,university_new_mexico
2018-04-26,2261,university_new_mexico
2018-04-27,1699,university_new_mexico
2018-04-28,1311,university_new_mexico
2018-04-29,1594,university_new_mexico
2018-04-30,1947,university_new_mexico
2018-05-01,2214,university_new_mexico
2018-05-02,2374,university_new_mexico
2018-05-03,2246,university_new_mexico
2018-05-04,1592,university_new_mexico
2018-05-05,1168,university_new_mexico
2018-05-06,1532,university_new_mexico
2018-05-07,2013,university_new_mexico
2018-05-08,2039,university_new_mexico
2018-05-09,1882,university_new_mexico
2018-05-10,1810,university_new_mexico
2018-05-11,1266,university_new_mexico
2018-05-12,1042,university_new_mexico
2018-05-13,1314,university_new_mexico
2018-05-14,1859,university_new_mexico
2018-05-15,1828,university_new_mexico
2018-05-16,1853,university_new_mexico
2018-05-17,1627,university_new_mexico
2018-05-18,1298,university_new_mexico
2018-05-19,1000,university_new_mexico
